[2023-02-06T15:18:55.184] [WARN] fileWarn - // Route : http://localhost/asdifj  || Method: GET // 
[2023-02-06T15:18:55.923] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-02-28T11:03:18.547] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:43:06.689] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:43:13.518] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:43:15.693] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:43:32.058] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:43:33.649] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:43:38.182] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:43:42.819] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:48:49.292] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:49:23.726] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:50:07.966] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T15:50:57.913] [WARN] fileWarn - // Route : http://localhost/favicon.ico  || Method: GET // 
[2023-03-01T17:53:36.253] [WARN] fileWarn - // Route : http://localhost/socket.io/socket.io.js  || Method: GET // 
[2023-03-01T17:53:46.245] [WARN] fileWarn - // Route : http://localhost/socket.io/socket.io.js  || Method: GET // 
[2023-03-01T17:54:54.774] [WARN] fileWarn - // Route : http://localhost/socket.io/socket.io.js  || Method: GET // 
[2023-03-01T17:55:19.246] [WARN] fileWarn - // Route : http://localhost/socket.io/socket.io.js  || Method: GET // 
[2023-03-01T17:55:20.570] [WARN] fileWarn - // Route : http://localhost/socket.io/socket.io.js  || Method: GET // 
[2023-03-01T17:56:56.247] [WARN] fileWarn - // Route : http://localhost/socket.io/socket.io.js  || Method: GET // 
